"","ID_PEDIDO","CANAL","SUCURSAL"
"1","1","1. Presencial","Sucursal 1"
"2","2","1. Presencial","Sucursal 1"
"3","3","1. Presencial","Sucursal 1"
"4","4","1. Presencial","Sucursal 1"
"5","5","1. Presencial","Sucursal 1"
"6","6","1. Presencial","Sucursal 1"
"7","7","1. Presencial","Sucursal 1"
"8","8","1. Presencial","Sucursal 1"
"9","9","1. Presencial","Sucursal 1"
"10","10","1. Presencial","Sucursal 1"
"11","11","1. Presencial","Sucursal 1"
"12","12","1. Presencial","Sucursal 1"
"13","13","1. Presencial","Sucursal 1"
"14","14","1. Presencial","Sucursal 1"
"15","15","1. Presencial","Sucursal 1"
"16","16","1. Presencial","Sucursal 1"
"17","17","1. Presencial","Sucursal 1"
"18","18","1. Presencial","Sucursal 1"
"19","19","1. Presencial","Sucursal 1"
"20","20","1. Presencial","Sucursal 1"
"21","21","1. Presencial","Sucursal 1"
"22","22","1. Presencial","Sucursal 1"
"23","23","1. Presencial","Sucursal 1"
"24","24","1. Presencial","Sucursal 1"
"25","25","1. Presencial","Sucursal 1"
"26","26","1. Presencial","Sucursal 1"
"27","27","1. Presencial","Sucursal 1"
"28","28","1. Presencial","Sucursal 1"
"29","29","1. Presencial","Sucursal 1"
"30","30","1. Presencial","Sucursal 1"
"31","31","1. Presencial","Sucursal 1"
"32","32","1. Presencial","Sucursal 1"
"33","33","1. Presencial","Sucursal 1"
"34","34","1. Presencial","Sucursal 1"
"35","35","1. Presencial","Sucursal 1"
"36","36","1. Presencial","Sucursal 1"
"37","37","1. Presencial","Sucursal 1"
"38","38","1. Presencial","Sucursal 1"
"39","39","1. Presencial","Sucursal 1"
"40","40","1. Presencial","Sucursal 1"
"41","41","1. Presencial","Sucursal 1"
"42","42","1. Presencial","Sucursal 1"
"43","43","1. Presencial","Sucursal 1"
"44","44","1. Presencial","Sucursal 1"
"45","45","1. Presencial","Sucursal 1"
"46","46","1. Presencial","Sucursal 1"
"47","47","1. Presencial","Sucursal 1"
"48","48","1. Presencial","Sucursal 1"
"49","49","1. Presencial","Sucursal 1"
"50","50","1. Presencial","Sucursal 1"
"51","51","1. Presencial","Sucursal 1"
"52","52","1. Presencial","Sucursal 1"
"53","53","1. Presencial","Sucursal 1"
"54","54","1. Presencial","Sucursal 1"
"55","55","1. Presencial","Sucursal 1"
"56","56","1. Presencial","Sucursal 1"
"57","57","1. Presencial","Sucursal 1"
"58","58","1. Presencial","Sucursal 1"
