"","rangoEdad","bancarizado","historial","deuda","tipo","hijos","tarjetas","moroso"
"1","De 36 a 49",0,1,4.02054516210464,"Dependiente","No tiene hijos",5,"Moroso"
"2","De 50 a mas",0,0,2.29512778332831,"Independiente","No tiene hijos",4,"Moroso"
"3","De 36 a 49",1,0,1.04651330788258,"Independiente","Tiene hijos",5,"Moroso"
"4","De 50 a mas",0,0,1.47349736873711,"Independiente","No tiene hijos",5,"Moroso"
"5","De 50 a mas",0,1,0.49954221397869,"Independiente","No tiene hijos",5,"No moroso"
"6","De 18 a 35",0,0,0.26940734456749,"Independiente","No tiene hijos",5,"Moroso"
"7","De 36 a 49",1,0,0.251730263821914,"Dependiente","No tiene hijos",4,"No moroso"
"8","De 50 a mas",1,0,0.365097643341871,"Independiente","Tiene hijos",5,"No moroso"
"9","De 36 a 49",1,0,0.532677208926713,"Dependiente","Tiene hijos",2,"Moroso"
"10","De 36 a 49",0,0,0.989370391276698,"Independiente","No tiene hijos",2,"Moroso"
"11","De 50 a mas",1,1,0.0711063966195562,"Independiente","Tiene hijos",5,"Moroso"
"12","De 36 a 49",1,0,2.53574816838597,"Independiente","No tiene hijos",5,"Moroso"
"13","De 36 a 49",1,1,0.257566567235678,"Independiente","No tiene hijos",2,"No moroso"
"14","De 36 a 49",0,0,0.18627109520586,"Dependiente","No tiene hijos",5,"Moroso"
"15","De 18 a 35",0,0,1.17747946493831,"Independiente","No tiene hijos",7,"Moroso"
"16","De 50 a mas",0,1,0.835653091297913,"Independiente","Tiene hijos",4,"No moroso"
"17","De 18 a 35",0,0,1.09884817259916,"Independiente","No tiene hijos",5,"Moroso"
"18","De 18 a 35",0,1,0.375379054832335,"Independiente","Tiene hijos",4,"Moroso"
"19","De 36 a 49",0,0,1.16291690252817,"Independiente","Tiene hijos",1,"No moroso"
"20","De 50 a mas",1,0,0.497874593909461,"Independiente","No tiene hijos",6,"Moroso"
"21","De 50 a mas",0,0,2.660541305699,"Independiente","No tiene hijos",3,"Moroso"
"22","De 36 a 49",0,0,1.1821916432609,"Independiente","No tiene hijos",3,"No moroso"
"23","De 36 a 49",1,0,1.40509539989927,"Independiente","Tiene hijos",6,"Moroso"
"24","De 50 a mas",1,0,0.97961471713156,"Dependiente","Tiene hijos",2,"No moroso"
"25","De 36 a 49",1,1,0.12693058583404,"Dependiente","No tiene hijos",1,"No moroso"
"26","De 36 a 49",0,0,0.182744790595407,"Dependiente","No tiene hijos",6,"Moroso"
"27","De 36 a 49",0,0,0.762451081122869,"Independiente","No tiene hijos",5,"No moroso"
"28","De 36 a 49",0,1,1.42775665275598,"Independiente","No tiene hijos",7,"Moroso"
"29","De 36 a 49",0,0,1.03781780678261,"Independiente","No tiene hijos",2,"Moroso"
"30","De 18 a 35",0,1,0.0359872271023579,"Independiente","No tiene hijos",4,"No moroso"
"31","De 50 a mas",1,1,0.0356729132160434,"Independiente","No tiene hijos",1,"No moroso"
"32","De 50 a mas",1,1,0.715676522242314,"Independiente","Tiene hijos",6,"No moroso"
"33","De 36 a 49",0,0,0.918152730920346,"Dependiente","No tiene hijos",1,"Moroso"
"34","De 50 a mas",1,0,0.750071204438655,"Independiente","No tiene hijos",0,"No moroso"
"35","De 18 a 35",0,1,0.244895944044514,"Independiente","No tiene hijos",0,"No moroso"
"36","De 36 a 49",0,1,0.783160278462924,"Independiente","Tiene hijos",6,"No moroso"
"37","De 50 a mas",1,0,0.413983492967648,"Independiente","Tiene hijos",0,"No moroso"
"38","De 18 a 35",0,1,0.346086326754159,"Independiente","No tiene hijos",7,"No moroso"
"39","De 36 a 49",0,0,1.31982739739131,"Dependiente","No tiene hijos",2,"Moroso"
"40","De 18 a 35",0,0,0.769350535052499,"Independiente","No tiene hijos",5,"Moroso"
"41","De 18 a 35",0,0,0.00725682147719159,"Independiente","Tiene hijos",3,"Moroso"
"42","De 36 a 49",0,0,0.355034672697155,"Dependiente","No tiene hijos",4,"Moroso"
"43","De 36 a 49",0,1,0.491510788406073,"Dependiente","Tiene hijos",5,"No moroso"
"44","De 36 a 49",0,0,0.182821871684597,"Independiente","No tiene hijos",4,"No moroso"
"45","De 18 a 35",0,1,0.636355812270917,"Independiente","No tiene hijos",1,"Moroso"
"46","De 18 a 35",0,0,1.34645270194035,"Independiente","No tiene hijos",2,"No moroso"
"47","De 18 a 35",0,0,1.78967699113657,"Independiente","No tiene hijos",7,"Moroso"
"48","De 36 a 49",1,0,0.619186453658733,"Independiente","No tiene hijos",6,"Moroso"
"49","De 36 a 49",0,1,0.341931193275605,"Independiente","No tiene hijos",5,"Moroso"
"50","De 50 a mas",0,1,0.134306715245588,"Dependiente","No tiene hijos",5,"No moroso"
"51","De 18 a 35",0,0,0.114645945428432,"Dependiente","No tiene hijos",0,"Moroso"
"52","De 36 a 49",1,0,3.58832896132334,"Independiente","Tiene hijos",5,"Moroso"
"53","De 50 a mas",1,0,0.457977643372765,"Independiente","No tiene hijos",2,"No moroso"
"54","De 18 a 35",1,0,1.56296785269351,"Independiente","Tiene hijos",1,"Moroso"
"55","De 36 a 49",0,0,0.620072431844761,"Independiente","No tiene hijos",0,"No moroso"
"56","De 18 a 35",0,0,0.515811681673685,"Independiente","No tiene hijos",1,"Moroso"
"57","De 18 a 35",1,0,0.0114852142148192,"Independiente","No tiene hijos",1,"No moroso"
"58","De 50 a mas",0,0,1.06012142115202,"Independiente","No tiene hijos",5,"No moroso"
"59","De 50 a mas",0,0,1.42982400484084,"Independiente","No tiene hijos",1,"Moroso"
"60","De 36 a 49",0,1,0.0594740485963518,"Dependiente","No tiene hijos",4,"No moroso"
"61","De 36 a 49",0,0,0.679874627907388,"Independiente","No tiene hijos",5,"Moroso"
"62","De 18 a 35",1,0,1.47966525123847,"Independiente","No tiene hijos",1,"No moroso"
"63","De 36 a 49",1,0,0.206082314494502,"Independiente","Tiene hijos",2,"No moroso"
"64","De 36 a 49",0,1,1.02968638436758,"Independiente","Tiene hijos",2,"Moroso"
"65","De 50 a mas",0,0,1.59284842844784,"Independiente","No tiene hijos",0,"No moroso"
"66","De 36 a 49",0,0,0.44514567223045,"Independiente","Tiene hijos",4,"No moroso"
"67","De 50 a mas",0,1,0.079326487328149,"Independiente","No tiene hijos",1,"No moroso"
"68","De 50 a mas",0,0,0.584890400482479,"Independiente","No tiene hijos",2,"No moroso"
"69","De 50 a mas",0,0,3.23459638882024,"Independiente","Tiene hijos",6,"Moroso"
"70","De 36 a 49",1,0,0.394931408393249,"Dependiente","No tiene hijos",5,"No moroso"
"71","De 50 a mas",0,1,0.615498665300596,"Independiente","Tiene hijos",7,"Moroso"
"72","De 36 a 49",1,0,0.122187838298217,"Independiente","Tiene hijos",0,"No moroso"
"73","De 36 a 49",0,0,2.86062413285687,"Independiente","No tiene hijos",2,"Moroso"
"74","De 18 a 35",1,0,1.33603352452096,"Independiente","No tiene hijos",6,"Moroso"
"75","De 36 a 49",0,1,0.528691989784711,"Independiente","No tiene hijos",4,"No moroso"
"76","De 18 a 35",1,1,1.76238722239475,"Dependiente","No tiene hijos",2,"No moroso"
"77","De 36 a 49",1,0,0.174572046659304,"Independiente","Tiene hijos",1,"Moroso"
"78","De 36 a 49",1,1,0.539969682333452,"Independiente","Tiene hijos",3,"Moroso"
"79","De 36 a 49",1,1,0.422810291446213,"Independiente","No tiene hijos",0,"No moroso"
